3675,20632
3676,13507
3677,11052
3678,11367
3679,11095
3687,10666
3689,10333
3691,12997
3693,22588
3695,12874
3697,24283
3699,23402
3701,20306
3703,18293
3705,15564
3707,17612
3708,15556
3710,10659
3712,10738
3714,10987
3715,12604
3717,21771
3719,16478
3721,18767
3723,23755
3724,23510
3725,20521
3727,13174
3729,23834
3731,15980
3733,18274
3735,18180
3737,14238
3738,10847
3740,16622
3742,11382
3744,13292
3746,21041
3747,11274
3749,17071
3751,13232
3753,12866
3755,10491
3757,17728
3759,21491
3761,21849
3763,11025
3765,20810
3766,13092
3768,11487
3770,11306
3771,21026
3772,11018
3774,23693
3775,21004
3777,11296
3779,17185
3781,20591
3783,22590
3785,21674
3787,21327
3788,11302
3790,10281
3792,21106
3794,21763
3796,23915
3798,11075
3799,20110
3800,12284
3802,18764
3804,20499
3806,10807
3807,21259
3809,23719
3811,11361
3813,13671
3815,11060
3817,11020
3819,13025
3820,11256
3821,23379
3822,20789
3824,18095
3825,24174
3827,24213
3828,17200
3830,17324
3832,21775
3833,22045
3834,11015
3836,10512
3838,17605
3840,11449
3842,16594
3844,21921
3846,23637
3848,19960
3850,16159
3852,22390
3854,10680
3856,18676
3858,18302
3860,22121
3862,17663
3864,11324
3866,15891
3868,17618
3870,15673
3872,13167
3874,12810
3876,22315
3878,22752
3880,10425
3881,21784
3883,21794
3884,12833
3886,13778
3887,11029
3889,10657
3891,13609
3893,21144
3895,10830
3897,12794
3899,21776
3900,13587
3902,11384
3904,12984
3905,15162
3907,12682
3909,17090
3910,19042
3912,22464
3913,10088
3915,22631
3917,16146
3919,15497
3921,15820
3923,10070
3924,20541
3926,16814
3927,23218
3928,18198
3930,10351
3932,13396
3934,10999
3936,10835
3937,23380
3939,21262
3941,20160
3943,11294
3945,11031
3947,11623
3949,17731
3950,23747
3952,22741
3954,17711
3956,18641
3957,11298
3959,20964
3961,12423
3963,21759
3965,19651
3967,18709
3969,22094
3970,19047
3972,21795
3974,20857
3976,11370
3978,19961
3980,11010
3982,12792
3984,11061
3986,10831
3988,23819
3990,22287
3992,10582
3994,18201
3995,12732
3997,11297
3999,11003
4001,18691
4003,22587
